"C Berthier, JA Gillet, T Auler, Y Berthier, M Horvatić, P Ségransan, ...",,
"Physica Scripta 1993 (T49A), 131",,
Spin dynamics in the high-field phases of volborthite,27,2017
"M Yoshida, K Nawa, H Ishikawa, M Takigawa, M Jeong, S Krämer, ...",,
"Physical Review B 96 (18), 180413",,
Cross-over temperatures and spin-gap in high Tc cuprate superconductors An NMR approach,27,1997
"C Berthier, MH Julien, O Bakharev, M Horvatić, P Ségransan",,
"Physica C: Superconductivity 282, 227-230",,
High-Field Phase Diagram and Spin Structure of Volborthite Cu3V2O7(OH)2·2H2O,26,2012
"M Yoshida, M Takigawa, S Krämer, S Mukhopadhyay, M Horvatić, ...",,
"Journal of the Physical Society of Japan 81 (2), 024703",,
High-magnetic-field NMR studies of  A quasi-one-dimensional spin system,26,2002
"P Vonlanthen, KB Tanaka, A Goto, WG Clark, P Millet, JY Henry, ...",,
"Physical Review B 65 (21), 214413",,
63Cu and 199Hg NMR in overdoped HgBa2CaCu2O6+ δ,26,1996
"MH Julien, M Horvatić, P Carretta, C Berthier, Y Berthier, P Ségransan, ...",,
"Physica C: Superconductivity 268 (3-4), 197-204",,
NMR investigation of HgBa2CaCu2O6+ δ,26,1994
"M Horvatić, C Berthier, P Carretta, JA Gillet, P Ségransan, Y Berthier, ...",,
"Physica C: Superconductivity 235, 1669-1670",,
Evidence of screening charge depression in the vicinity of chromium and manganese impurities in aluminium at low temperature,26,1973
"C Berthier, M Minier",,
"Journal of Physics F: Metal Physics 3 (6), 1169",,
"The 18-magnetization plateau state in the 2D quantum antiferromagnet SrCu2 (BO3) 2: spin superstructure, phase transition, and spin dynamics studied by high-field NMR",25,2004
"M Takigawa, K Kodama, M Horvatić, C Berthier, H Kageyama, Y Ueda, ...",,
"Physica B: Condensed Matter 346, 27-33",,
Spin polarization of two-dimensional electrons in GaAs quantum wells around Landau level filling  from NMR measurements of gallium nuclei,25,2001
"S Melinte, N Freytag, M Horvatić, C Berthier, LP Lévy, V Bayot, ...",,
"Physical Review B 64 (8), 085327",,
2X organic superconductors: interplay between 1-D charge localization and higher dimensionality cross-over,25,1995
"D Jérome, P Auban-Senzier, L Balicas, K Behnia, W Kang, P Wzietek, ...",,
"Synthetic Metals 70 (1-3), 719-725",,
"From underdoped to overdoped regime in YBa2Cu3O6+x, an NMR investigation of single crystals",24,1992
"C Berthier, Y Berthier, P Butaud, WG Clark, JA Gillet, M Horvatic, ...",,
"Applied Magnetic Resonance 3, 449-468",,
Magnetic-order crossover in coupled spin ladders,23,2017
"M Jeong, H Mayaffre, C Berthier, D Schmidiger, A Zheludev, M Horvatić",,
"Physical review letters 118 (16), 167206",,
Spatially resolved magnetization in the Bose-Einstein condensed state of BaCuSiO: Evidence for imperfect frustration,23,2013
"S Krämer, N Laflorencie, R Stern, M Horvatić, C Berthier, H Nakamura, ...",,
"Physical Review B—Condensed Matter and Materials Physics 87 (18), 180405",,
Spin dynamics at the level crossing in the molecular antiferromagnetic ring from proton NMR,23,2005
"E Micotti, A Lascialfari, F Borsa, MH Julien, C Berthier, M Horvatić, ...",,
"Physical Review B—Condensed Matter and Materials Physics 72 (2), 020405",,
63 Cu and 89 Y NMR study of an optimally doped YBa 2 Cu 3 O 6.94 single crystal,23,1997
"T Auler, M Horvatić, JA Gillet, C Berthier, Y Berthier, P Ségransan, ...",,
"Physical Review B 56 (17), 11294",,
Nuclear magnetic resonance in high magnetic field: Application to condensed matter physics,22,2017
"C Berthier, M Horvatić, MH Julien, H Mayaffre, S Krämer",,
"Comptes Rendus. Physique 18 (5-6), 331-348",,
Quadrupolar nuclear resonance investigation of the screening charge around 3d impurities in aluminium,22,1977
"C Berthier, M Minier",,
"Journal of Physics F: Metal Physics 7 (3), 515",,
Quadripolar nuclear resonance investigation of conduction electrons charge density around a scandium impurity in an aluminium matrix,22,1973
"C Berthier, M Minier",,
"Journal of Physics F: Metal Physics 3 (6), 1268",,
Nuclear magnetic resonance study of the magnetic-field-induced ordered phase in the  compound,21,2017
"R Blinder, M Dupont, S Mukhopadhyay, MS Grbić, N Laflorencie, ...",,
"Physical Review B 95 (2), 020404",,
Solid Effect between Pure-Quadrupolar Nuclear Transitions in Dilute Alloys and Its Application to  Ti,21,1973
"C Berthier, M Minier",,
"Physical Review B 7 (5), 1854",,
Interplay between quantum fluctuations and reentrant superconductivity with a highly enhanced upper critical field in URhGe,20,2016
"Y Tokunaga, D Aoki, H Mayaffre, S Krämer, MH Julien, C Berthier, ...",,
"Physical Review B 93 (20), 201112",,
NMR studies of low-dimensional quantum antiferromagnets,20,2002
